symbol,price,date
BCCETH,2.47246,2022-04-05 20:16:56
BCCUSDT,448.7,2022-04-05 20:16:56
BCCBNB,54.29,2022-04-05 20:16:56
BATBTC,1.862e-05,2022-04-05 20:16:56
BATETH,0.0002478,2022-04-05 20:16:56
BATBNB,0.001831,2022-04-05 20:16:56
BCPTBTC,4.8e-07,2022-04-05 20:16:56
BCPTETH,8.181e-05,2022-04-05 20:16:56
BCPTBNB,0.001162,2022-04-05 20:16:56
ARNBTC,7.61e-06,2022-04-05 20:16:56
ARNETH,0.00029362,2022-04-05 20:16:56
GVTBTC,1.792e-05,2022-04-05 20:16:56
GVTETH,0.003846,2022-04-05 20:16:56
CDTBTC,3.17e-06,2022-04-05 20:16:56
CDTETH,5.119e-05,2022-04-05 20:16:56
GXSBTC,4.344e-05,2022-04-05 20:16:56
GXSETH,0.000577,2022-04-05 20:16:56
NEOUSDT,26.19,2022-04-05 20:16:56
NEOBNB,0.0584,2022-04-05 20:16:56
POEBTC,5e-08,2022-04-05 20:16:56
POEETH,6.64e-06,2022-04-05 20:16:56
QSPBTC,1.51e-06,2022-04-05 20:16:56
QSPETH,2.249e-05,2022-04-05 20:16:56
QSPBNB,0.0005235,2022-04-05 20:16:56
BTSBTC,5.9e-07,2022-04-05 20:16:56
BTSETH,9.498e-05,2022-04-05 20:16:56
BTSBNB,0.001448,2022-04-05 20:16:56
XZCBTC,0.0001355,2022-04-05 20:16:56
XZCETH,0.0031,2022-04-05 20:16:56
XZCBNB,0.2675,2022-04-05 20:16:56
LSKBTC,5.4e-05,2022-04-05 20:16:56
LSKETH,0.000717,2022-04-05 20:16:56
LSKBNB,0.06494,2022-04-05 20:16:56
TNTBTC,2.61e-06,2022-04-05 20:16:56
TNTETH,9.2e-06,2022-04-05 20:16:56
FUELBTC,2.6e-07,2022-04-05 20:16:56
FUELETH,2.221e-05,2022-04-05 20:16:56
MANABTC,5.629e-05,2022-04-05 20:16:56
MANAETH,0.0007494,2022-04-05 20:16:56
BCDBTC,1.351e-05,2022-04-05 20:16:56
BCDETH,0.00251,2022-04-05 20:16:56
DGDBTC,0.003931,2022-04-05 20:16:56
DGDETH,0.1926,2022-04-05 20:16:56
IOTABNB,0.001849,2022-04-05 20:16:56
ADXBTC,1.019e-05,2022-04-05 20:16:56
ADXETH,0.0001357,2022-04-05 20:16:56
ADXBNB,0.004929,2022-04-05 20:16:56
ADABTC,2.57e-05,2022-04-05 20:16:56
ADAETH,0.0003421,2022-04-05 20:16:56
PPTBTC,1.855e-05,2022-04-05 20:16:56
PPTETH,0.00141,2022-04-05 20:16:56
CMTBTC,2.8e-07,2022-04-05 20:16:56
CMTETH,6.25e-06,2022-04-05 20:16:56
CMTBNB,0.000577,2022-04-05 20:16:56
XLMBTC,4.96e-06,2022-04-05 20:16:56
XLMETH,6.61e-05,2022-04-05 20:16:56
XLMBNB,0.0005068,2022-04-05 20:16:56
CNDBTC,6e-08,2022-04-05 20:16:56
CNDETH,2.599e-05,2022-04-05 20:16:56
CNDBNB,0.0003399,2022-04-05 20:16:56
LENDBTC,4.512e-05,2022-04-05 20:16:56
LENDETH,0.00137174,2022-04-05 20:16:56
WABIBTC,2.74e-06,2022-04-05 20:16:56
WABIETH,0.00040308,2022-04-05 20:16:56
WABIBNB,0.0002413,2022-04-05 20:16:56
LTCETH,0.03611,2022-04-05 20:16:56
LTCUSDT,124.5,2022-04-05 20:16:56
LTCBNB,0.2771,2022-04-05 20:16:56
TNBBTC,7e-08,2022-04-05 20:16:56
TNBETH,7.52e-06,2022-04-05 20:16:56
WAVESBTC,0.0006651,2022-04-05 20:16:56
WAVESETH,0.008859,2022-04-05 20:16:56
WAVESBNB,0.06803,2022-04-05 20:16:56
GTOBTC,1.19e-06,2022-04-05 20:16:56
GTOETH,3.197e-05,2022-04-05 20:16:56
GTOBNB,0.000352,2022-04-05 20:16:56
ICXBTC,2.113e-05,2022-04-05 20:16:56
ICXETH,0.0002812,2022-04-05 20:16:56
ICXBNB,0.004654,2022-04-05 20:16:56
OSTBTC,3.2e-07,2022-04-05 20:16:56
OSTETH,2.25e-06,2022-04-05 20:16:56
OSTBNB,0.000525,2022-04-05 20:16:56
ELFBTC,8.54e-06,2022-04-05 20:16:56
ELFETH,0.0001147,2022-04-05 20:16:56
AIONBTC,2.44e-06,2022-04-05 20:16:56
AIONETH,3.255e-05,2022-04-05 20:16:56
AIONBNB,0.002613,2022-04-05 20:16:56
NEBLBTC,1.342e-05,2022-04-05 20:16:56
NEBLBNB,0.01356,2022-04-05 20:16:56
BRDBTC,6.07e-06,2022-04-05 20:16:56
BRDETH,8.093e-05,2022-04-05 20:16:56
BRDBNB,0.00247,2022-04-05 20:16:56
MCOBNB,0.26837,2022-04-05 20:16:56
EDOBTC,5.609e-05,2022-04-05 20:16:56
EDOETH,0.002266,2022-04-05 20:16:56
WINGSBTC,1.193e-05,2022-04-05 20:16:56
WINGSETH,0.0003346,2022-04-05 20:16:56
NAVBTC,4.32e-06,2022-04-05 20:16:56
NAVETH,0.0001187,2022-04-05 20:16:56
NAVBNB,0.004237,2022-04-05 20:16:56
LUNBTC,8.51e-05,2022-04-05 20:16:56
LUNETH,0.004891,2022-04-05 20:16:56
TRIGBTC,1.98e-05,2022-04-05 20:16:56
TRIGETH,0.000594,2022-04-05 20:16:56
TRIGBNB,0.01218,2022-04-05 20:16:56
APPCBTC,5.5e-07,2022-04-05 20:16:56
APPCETH,0.000146,2022-04-05 20:16:56
APPCBNB,0.001891,2022-04-05 20:16:56
VIBEBTC,4.2e-07,2022-04-05 20:16:56
VIBEETH,5.72e-05,2022-04-05 20:16:56
RLCBTC,5.197e-05,2022-04-05 20:16:56
RLCETH,0.000692,2022-04-05 20:16:56
RLCBNB,0.03344,2022-04-05 20:16:56
INSBTC,6.18e-06,2022-04-05 20:16:56
INSETH,0.000501,2022-04-05 20:16:56
PIVXBTC,6.78e-06,2022-04-05 20:16:56
PIVXBNB,0.0166,2022-04-05 20:16:56
IOSTBTC,7.7e-07,2022-04-05 20:16:56
IOSTETH,1.029e-05,2022-04-05 20:16:56
CHATBTC,1.95e-06,2022-04-05 20:16:56
CHATETH,6.585e-05,2022-04-05 20:16:56
STEEMBTC,8.55e-06,2022-04-05 20:16:56
STEEMETH,0.0001138,2022-04-05 20:16:56
STEEMBNB,0.00448,2022-04-05 20:16:56
NANOBTC,6.28e-05,2022-04-05 20:16:56
NANOETH,0.000905,2022-04-05 20:16:56
NANOBNB,0.05589,2022-04-05 20:16:56
VIABTC,6.81e-06,2022-04-05 20:16:56
VIAETH,0.000856,2022-04-05 20:16:56
VIABNB,0.00958,2022-04-05 20:16:56
BLZBTC,4.45e-06,2022-04-05 20:16:56
BLZETH,5.929e-05,2022-04-05 20:16:56
BLZBNB,0.0006219,2022-04-05 20:16:56
AEBTC,2.92e-06,2022-04-05 20:16:56
AEETH,0.000219,2022-04-05 20:16:56
AEBNB,0.00777,2022-04-05 20:16:56
RPXBTC,2.24e-06,2022-04-05 20:16:56
RPXETH,5.449e-05,2022-04-05 20:16:56
RPXBNB,0.001457,2022-04-05 20:16:56
NCASHBTC,5e-08,2022-04-05 20:16:56
NCASHETH,1.3e-07,2022-04-05 20:16:56
NCASHBNB,6.79e-05,2022-04-05 20:16:56
POABTC,4.1e-07,2022-04-05 20:16:56
POAETH,4.891e-05,2022-04-05 20:16:56
POABNB,0.000921,2022-04-05 20:16:56
ZILBTC,2.75e-06,2022-04-05 20:16:56
ZILETH,3.664e-05,2022-04-05 20:16:56
ZILBNB,0.0002813,2022-04-05 20:16:56
ONTBTC,1.352e-05,2022-04-05 20:16:56
ONTETH,0.0001802,2022-04-05 20:16:56
ONTBNB,0.002462,2022-04-05 20:16:56
STORMBTC,3.5e-07,2022-04-05 20:16:56
STORMETH,1.398e-05,2022-04-05 20:16:56
STORMBNB,6.55e-05,2022-04-05 20:16:56
QTUMBNB,0.09597,2022-04-05 20:16:56
